Date,Open,Close,Volume,Returns,Range,Bench_C_Rets,RSI,RSI_Return,MA_12,MA_21,DOW,Rolling_rets,AVG_Range,Returns_T1,Range_T1,Rolling_rets_T1,Returns_T2,Range_T2,Rolling_rets_T2,HMM
2022-11-24,0.0256889610482407,16604.46484375,-0.2072230342772298,-0.0003757930043709,0.0163441298014357,1.5274280284974724,40.2952940699705,0.9988983242967802,16508.876383463543,17519.430617559523,3,-0.1634068737895309,0.04415842999902,0.0260002157033485,0.0289224417892943,-0.1242477795755504,0.0254942741881059,0.0380951905723203,-0.1615647765158104,0
2022-11-25,-0.00056389311051,16521.841796875,-0.2851533074084028,-0.0049759536156385,0.0131136689992434,1.5148112320807745,39.67229107679007,0.9845390632439952,16522.916097005207,17299.174014136905,4,-0.2019511380382203,0.0431643034672374,-0.0003757930043709,0.0163441298014357,-0.1634068737895309,0.0260002157033485,0.0289224417892943,-0.1242477795755504,2
2022-11-26,-0.0048603812402342,16464.28125,-0.0363121274744008,-0.0034839061881034,0.0152674998027986,1.5059892189724169,39.217383875974654,0.9885333771136412,16510.089599609375,17069.725911458332,5,-0.1821035483148224,0.0426880134307922,-0.0049759536156385,0.0131136689992434,-0.2019511380382203,-0.0003757930043709,0.0163441298014357,-0.1634068737895309,2
2022-11-27,-0.0034920009310741,16444.626953125,0.1357715863943231,-0.0011937537130568,0.0095747774086156,1.5023273174508345,39.05271782258388,0.995801197399818,16473.424072265625,16856.304036458332,6,-0.1985550230285621,0.0419468820359212,-0.0034839061881034,0.0152674998027986,-0.1821035483148224,-0.0049759536156385,0.0131136689992434,-0.2019511380382203,2
2022-11-28,-0.0014370945492904,16217.322265625,0.3570320329944267,-0.0138224289397337,0.0266842637570843,1.467787371068765,37.11194485164764,0.9503037668273652,16435.747639973957,16647.47098214286,0,-0.223211207309781,0.0421525424282611,-0.0011937537130568,0.0095747774086156,-0.1985550230285621,-0.0034839061881034,0.0152674998027986,-0.1821035483148224,2
2022-11-29,-0.0135389290319545,16444.982421875,-0.1499958877808257,0.0140380854817543,0.0237221589106915,1.5025055744355835,40.31141509654572,1.086211333242915,16415.536376953125,16547.64769345238,1,-0.2003889513664662,0.0423437861709079,-0.0138224289397337,0.0266842637570843,-0.223211207309781,-0.0011937537130568,0.0095747774086156,-0.1985550230285621,2
2022-11-30,0.0140487098616999,17168.56640625,0.2519705863714898,0.0440002893169708,0.0453292389957153,1.6125306484041713,49.1639614824739,1.2196039599385522,16454.768798828125,16608.970842633928,2,-0.1496125055867526,0.0430203186519029,0.0140380854817543,0.0237221589106915,-0.2003889513664662,-0.0138224289397337,0.0266842637570843,-0.223211207309781,2
2022-12-01,0.0439345973270575,16967.1328125,-0.2245047676512398,-0.0117326973600236,0.0183030708853102,1.5821145984330234,47.071014968977,0.9574292540636092,16476.067626953125,16579.46423921131,3,-0.1608329022018437,0.0431598160085883,0.0440002893169708,0.0453292389957153,-0.1496125055867526,0.0140380854817543,0.0237221589106915,-0.2003889513664662,2
2022-12-02,-0.0116098751572379,17088.66015625,-0.1465660699641537,0.0071625150279055,0.0124884929945408,1.6008277965702478,48.49558085989937,1.0302641846975524,16542.469970703125,16582.053152901786,4,-0.1377677665794944,0.0424880465001069,-0.0117326973600236,0.0183030708853102,-0.1608329022018437,0.0440002893169708,0.0453292389957153,-0.1496125055867526,2
2022-12-03,0.0071551845391659,16908.236328125,-0.1700091378763825,-0.0105581026525951,0.0134946999604936,1.573357882938646,46.49480703887576,0.958743172356184,16635.882649739582,16587.246047247023,5,-0.1508301161240156,0.0424468944756972,0.0071625150279055,0.0124884929945408,-0.1377677665794944,-0.0117326973600236,0.0183030708853102,-0.1608329022018437,2
2022-12-04,-0.0106452132711171,17130.486328125,0.0374122875825728,0.013144481522908,0.0150459393607602,1.606941073723735,49.27121239528006,1.059714310763412,16714.275716145832,16624.251813616072,6,-0.184060831580788,0.0412617141647825,-0.0105581026525951,0.0134946999604936,-0.1508301161240156,0.0071625150279055,0.0124884929945408,-0.1377677665794944,2
2022-12-05,0.0130543169600771,16974.826171875,0.3200427553573304,-0.0090867330482284,0.0269299774880442,1.5833152114883269,47.41543017407759,0.962335365196326,16744.618977864582,16641.234049479168,0,-0.1995531758838885,0.0416075773837264,0.013144481522908,0.0150459393607602,-0.184060831580788,-0.0105581026525951,0.0134946999604936,-0.1508301161240156,0
2022-12-06,-0.0089705876651683,17089.50390625,-0.1044241252391151,0.0067557530907154,0.0089694278032199,1.600767748449108,48.941205690649184,1.032178881662994,16785.038899739582,16650.990745907737,1,-0.1760605791616203,0.041229085944819,-0.0090867330482284,0.0269299774880442,-0.1995531758838885,0.013144481522908,0.0150459393607602,-0.184060831580788,0
2022-12-07,0.0067314270487275,16848.126953125,-0.0107852597923832,-0.0141242808714139,0.0214212772288611,1.563915474157486,45.92094445976027,0.9382879684252248,16812.229329427082,16659.499674479168,2,-0.1747178620478068,0.0410267885334545,0.0067557530907154,0.0089694278032199,-0.1760605791616203,-0.0090867330482284,0.0269299774880442,-0.1995531758838885,2
2022-12-08,-0.0141698801587734,17233.474609375,0.0417373571980614,0.022871839541696,0.0285388647112208,1.6223551232019968,51.108306164231365,1.1129628705484638,16876.328776041668,16685.497628348214,3,-0.0517847065566264,0.0361817846352961,-0.0141242808714139,0.0214212772288611,-0.1747178620478068,0.0067557530907154,0.0089694278032199,-0.1760605791616203,0
