Date,Id,suburb,postalCode,sellPrice,bed,bath,car,propType
2018-03-17,87,Avalon Beach,2107,2870000,5.0,3,3.0,house
2018-03-17,88,Avalon Beach,2107,1822500,3.0,2,2.0,house
2018-03-17,89,Avalon Beach,2107,1380000,3.0,2,2.0,house
2018-03-16,90,Bilgola Plateau,2107,1530000,4.0,2,3.0,house
2018-03-13,91,Avalon Beach,2107,1300000,3.0,2,2.0,house
2018-03-10,92,Avalon Beach,2107,1375000,4.0,2,1.0,house
2018-03-08,93,Avalon Beach,2107,1850000,5.0,3,2.0,house
2018-03-07,94,Avalon Beach,2107,2167000,3.0,2,3.0,house
2018-03-07,95,Avalon Beach,2107,2100000,3.0,3,1.0,house
2018-03-02,96,Avalon Beach,2107,1307000,4.0,2,2.0,house
2018-02-26,97,Avalon Beach,2107,2400000,3.0,2,1.0,house
2018-02-24,98,Avalon Beach,2107,1875000,4.0,3,2.0,house
2018-02-24,99,Bilgola Plateau,2107,1860000,4.0,2,2.0,house
2018-02-21,100,Avalon Beach,2107,1863500,4.0,2,1.0,house
2018-02-21,101,Bilgola Plateau,2107,1230000,3.0,1,1.0,duplex/semi-detached
2018-02-17,102,Avalon Beach,2107,1860000,4.0,2,3.0,house
2018-02-07,103,Avalon Beach,2107,1471000,2.0,1,,house
2018-02-07,104,Bilgola Plateau,2107,1395000,4.0,3,,house
2018-01-30,105,Avalon Beach,2107,9500000,4.0,3,3.0,house
2018-01-05,106,Avalon Beach,2107,1315000,3.0,2,2.0,townhouse
2017-12-15,107,Bilgola Plateau,2107,1600000,4.0,2,2.0,house
2017-12-11,108,Avalon Beach,2107,1350000,4.0,2,2.0,house
2017-12-10,109,Avalon Beach,2107,1800000,4.0,2,9.0,house
2017-12-09,110,Avalon Beach,2107,2400000,5.0,3,2.0,house
2017-12-08,111,Bilgola Plateau,2107,1485000,4.0,3,3.0,house
2017-12-07,112,Whale Beach,2107,1700000,4.0,2,5.0,house
2017-12-07,113,Bilgola Plateau,2107,1000000,2.0,1,2.0,house
2017-12-06,114,Avalon Beach,2107,2245000,4.0,2,2.0,house
2017-12-06,115,Bilgola Plateau,2107,1550000,3.0,2,2.0,house
2017-12-02,116,Avalon Beach,2107,1250000,5.0,2,2.0,house
2017-12-01,117,Avalon Beach,2107,1950000,3.0,3,2.0,house
2017-11-24,118,Avalon Beach,2107,1200000,3.0,2,2.0,townhouse
2017-11-22,119,Avalon Beach,2107,1805000,4.0,2,2.0,house
2017-11-22,120,Avalon Beach,2107,1600000,3.0,2,2.0,house
2017-11-21,121,Whale Beach,2107,2925000,6.0,4,2.0,house
2017-11-17,122,Avalon Beach,2107,1750000,3.0,3,2.0,house
2017-11-10,123,Bilgola Plateau,2107,2036500,4.0,2,2.0,house
2017-11-10,124,Avalon Beach,2107,1925000,3.0,3,2.0,house
2017-11-09,125,Clareville,2107,4400000,4.0,3,2.0,house
2017-11-04,126,Bilgola Plateau,2107,1640000,4.0,3,2.0,house
2017-11-03,127,Avalon Beach,2107,1920000,4.0,2,2.0,house
2017-11-03,128,Bilgola Plateau,2107,1100000,2.0,1,2.0,house
2017-11-02,129,Avalon Beach,2107,3400000,5.0,4,2.0,house
2017-10-27,130,Bilgola Plateau,2107,1450000,3.0,1,2.0,house
2017-10-26,131,Avalon Beach,2107,1455000,4.0,2,2.0,house
2017-10-23,132,Avalon Beach,2107,1451000,4.0,2,2.0,house
2017-10-19,133,Avalon Beach,2107,1675000,4.0,3,2.0,house
2017-10-17,134,Avalon Beach,2107,2650000,5.0,4,2.0,house
2017-10-14,135,Bilgola Plateau,2107,1800000,4.0,2,2.0,house
2017-10-13,136,Avalon Beach,2107,2100000,5.0,4,2.0,house
2017-10-13,137,Bilgola Plateau,2107,1450000,3.0,2,2.0,house
2017-10-11,138,Avalon Beach,2107,1850000,3.0,2,2.0,house
2017-10-10,139,Avalon Beach,2107,1440000,4.0,2,2.0,house
2017-10-06,140,Avalon Beach,2107,2270000,5.0,3,2.0,house
2017-10-04,141,Avalon Beach,2107,1843000,3.0,2,2.0,house
2017-09-30,142,Bilgola Beach,2107,3360000,3.0,3,4.0,house
2017-09-26,143,Avalon Beach,2107,2239000,4.0,3,2.0,house
