Date,Open,Close,Volume,Returns,Range,12_MA,21_MA,HMM,MA_Signal,HMM_Signal,Main_Signal,lrets_bench,bench_prod,bench_prod_exponent,lrets_strat,lrets_prod,strat_prod_exponent
2022-01-06,467.8900146484375,467.94000244140625,86858900,-0.0009394133755055156,0.01158072048053893,472.97166697184247,469.7190479096912,1,1.0,0,1.0,-0.0009398549007887172,-0.0009398549007887172,-0.0009394133755055156,0.00012822182628269987,0.00012822182628269987,0.00012823004705242447
2022-01-07,467.95001220703125,466.0899963378906,85111600,-0.003953511334494841,0.009792356333400809,473.2241668701172,469.5557149251302,0,1.0,1,0.0,-0.003961347119826814,-0.004901202020615531,-0.004889210728572513,-0.0,0.00012822182628269987,0.00012823004705242447
2022-01-10,462.70001220703125,465.510009765625,119362000,-0.001244366059822366,0.020017485783360378,473.04250081380206,469.51571509951634,0,1.0,1,1.0,-0.0012451409261460564,-0.0061463429467615875,-0.006127492820504954,0.005453008277016983,0.005581230103299683,0.005596834184514954
2022-01-11,465.2300109863281,469.75,74303100,0.009108268663244656,0.01688132997861236,472.97166697184247,469.46857270740327,1,1.0,0,1.0,0.009067038551736909,0.0029206956049753216,0.0029249649918985376,0.013578025690286934,0.019159255793586617,0.019343972124803877
2022-01-12,471.5899963378906,471.0199890136719,67605400,0.002703542338843734,0.009084338600772845,472.451665242513,469.6804765973772,0,1.0,1,0.0,0.002699894341785254,0.005620589946760576,0.005636415097437508,0.0,0.019159255793586617,0.019343972124803877
2022-01-13,472.19000244140625,464.5299987792969,91173100,-0.013778587715492119,0.02036941651923918,471.42333221435547,469.73619152250745,0,1.0,1,1.0,-0.013874393518961387,-0.008253803572200812,-0.008219834457875663,-0.023571341244053415,-0.004412085450466799,-0.00440236650032233
2022-01-14,461.19000244140625,464.7200012207031,95890900,0.0004090208208415991,0.011285067428320916,470.35999806722003,469.45619128999255,0,1.0,1,1.0,0.0004089371946281227,-0.007844866377572689,-0.007814175720471161,-0.003149019831682966,-0.007561105282149765,-0.007532592034752428
2022-01-18,459.739990234375,456.489990234375,109709100,-0.017709612163689825,0.010212808682914964,468.7208302815755,468.9819045293899,0,0.0,1,1.0,-0.017868303713834164,-0.025713170091406855,-0.025385401862772605,-0.003508093763307765,-0.01106919904545753,-0.01100816088381562
2022-01-19,458.1300048828125,451.75,109357600,-0.010383557878106742,0.01805252746808539,466.78666432698566,468.5952380952381,0,0.0,1,0.0,-0.01043784312485474,-0.036151013216261595,-0.035505368951378236,-0.0,-0.01106919904545753,-0.01100816088381562
2022-01-20,453.75,446.75,122379700,-0.011068068622025473,0.03203597353065235,464.2066650390625,468.20333281017486,0,0.0,1,0.0,-0.011129775432800469,-0.047280788649062065,-0.04618046171339951,-0.0,-0.01106919904545753,-0.01100816088381562
2022-01-21,445.55999755859375,437.9800109863281,202271200,-0.01963064132886827,0.023084792943865118,460.90916697184247,467.00904773530505,0,0.0,1,0.0,-0.019825881722007412,-0.06710667037106947,-0.06490455096197045,-0.0,-0.01106919904545753,-0.01100816088381562
2022-01-24,432.0299987792969,439.8399963378906,251783900,0.004246735706896265,0.046629895098910135,458.5308329264323,465.68285696847096,1,0.0,0,0.0,0.004237743773401898,-0.06286892659766757,-0.06093344772918452,0.0,-0.01106919904545753,-0.01100816088381562
2022-01-25,433.05999755859375,434.4700012207031,167997300,-0.012208974085799573,0.029427619112327497,455.74166615804035,463.9623805454799,1,0.0,0,0.0,-0.012284115838726838,-0.07515304243639441,-0.07239848693070006,0.0,-0.01106919904545753,-0.01100816088381562
2022-01-26,440.7200012207031,433.3800048828125,186391100,-0.0025087953939929575,0.03539622187161018,453.0158335367839,461.8728565034412,3,0.0,1,0.0,-0.0025119476945792865,-0.0776649901309737,-0.07472564933414916,-0.0,-0.01106919904545753,-0.01100816088381562
2022-01-27,438.260009765625,431.239990234375,149878300,-0.004937963506221665,0.02826867804350397,450.1599985758464,459.6999991280692,3,0.0,1,0.0,-0.004950195532161598,-0.08261518566313529,-0.07929462031098011,-0.0,-0.01106919904545753,-0.01100816088381562
2022-01-28,432.67999267578125,441.95001220703125,164457400,0.024835410015744186,0.033144762827875596,447.8433329264323,458.0080944242932,3,0.0,1,0.0,0.02453202410233454,-0.05808316156080075,-0.05642852470270188,0.0,-0.01106919904545753,-0.01100816088381562
