Date,Asset1,Asset2,Spread,ZScore
2020-05-26,29.600000381469727,41.29999923706055,-4.486388392724777,-1.3062905145212034
2020-05-27,30.229999542236328,41.40999984741211,-3.9471767292731244,-0.99877815238117
2020-05-28,30.139999389648438,41.25,-3.9051231989687594,-0.9571606341261829
2020-05-29,29.600000381469727,41.45899963378906,-4.617617192682616,-1.3091218980671475
2020-06-01,30.530000686645508,41.255001068115234,-3.519249465051864,-0.7101777467378237
2020-06-02,30.84000015258789,41.814998626708984,-3.671436315028288,-0.7748151138761543
2020-06-03,32.130001068115234,43.2599983215332,-3.5740461086113626,-0.7077835419356374
2020-06-04,31.780000686645508,43.542999267578125,-4.157617445251859,-0.9995542673236095
2020-06-05,33.310001373291016,44.74700164794922,-3.621323634648064,-0.6980954236077266
2020-06-08,34.20000076293945,44.231998443603516,-2.3062734031698042,0.014116395040318969
2020-06-09,33.56999969482422,44.4370002746582,-3.1054699250825593,-0.4035962280877605
2020-06-10,33.22999954223633,44.4379997253418,-3.4462949606048596,-0.5750716109609142
2020-06-11,30.989999771118164,41.56700134277344,-3.316755534480322,-0.49436695887929427
2020-06-12,31.600000381469727,41.494998931884766,-2.6473287203619478,-0.12651236622140852
2020-06-15,31.790000915527344,42.63600158691406,-3.3990391018051866,-0.5222819059450292
2020-06-16,32.060001373291016,43.52000045776367,-3.8586350058905836,-0.7590390532516187
2020-06-17,31.729999542236328,44.34000015258789,-4.865412355319066,-1.2757812013073309
2020-06-18,31.81999969482422,43.73699951171875,-4.277733881775916,-0.9442400704169551
2020-06-19,31.3700008392334,43.51599884033203,-4.5453328598024285,-1.0672976931134928
2020-06-22,31.520000457763672,43.92399978637695,-4.732071234590244,-1.1426931744950373
2020-06-23,31.770000457763672,43.944000244140625,-4.498578338502796,-0.9994243953905284
2020-06-24,31.0,42.92300033569336,-4.42591050424091,-0.9427319539806049
2020-06-25,31.200000762939453,43.244998931884766,-4.491666872954774,-0.9615562719024059
2020-06-26,30.399999618530273,42.49300003051758,-4.671016022611191,-1.0435010711774504
2020-06-29,30.75,42.60200119018555,-4.410978255522011,-0.8835657250224763
2020-06-30,30.93000030517578,43.880001068115234,-5.285757647615412,-1.3356101540123053
2020-07-01,30.829999923706055,43.415000915527344,-5.0019765212407705,-1.1605935429595726
2020-07-02,31.6200008392334,43.89899826049805,-4.611436186127797,-0.9279768719841712
2020-07-06,33.43000030517578,45.06999969482422,-3.7679067173510177,-0.4436295956267136
2020-07-07,33.25,44.84000015258789,-3.7580800501446987,-0.4238493364030979
2020-07-08,32.849998474121094,45.12799835205078,-4.395776945866395,-0.7687237875318579
2020-07-09,32.7599983215332,45.83000183105469,-5.065166056037889,-1.1282665580392834
2020-07-10,33.540000915527344,45.61800003051758,-4.11019067929724,-0.5675091476226781
2020-07-13,33.84000015258789,44.84000015258789,-3.168079897556808,-0.0031765385475633966
2020-07-14,34.150001525878906,45.244998931884766,-3.1923387203725184,0.004065587940271942
2020-07-15,34.83000183105469,45.43000030517578,-2.6650267650817057,0.3569154959029896
2020-07-16,34.5099983215332,45.21500015258789,-2.807582843053467,0.2991899224276215
2020-07-17,34.88999938964844,45.547000885009766,-2.701594032751892,0.40745335088853657
2020-07-20,35.380001068115234,46.61399841308594,-3.0922241517421796,0.18441205148587886
2020-07-21,35.15999984741211,46.13100051879883,-2.913589674965337,0.35364421946405455
2020-07-22,35.13999938964844,46.14099884033203,-2.941842110481211,0.37483402957558853
2020-07-23,35.130001068115234,46.029998779296875,-2.8602280517650627,0.48477315903389173
2020-07-24,34.75,44.974998474121094,-2.36949906604422,0.9570240292810435
2020-07-27,35.36000061035156,46.053001403808594,-2.6492134106526493,0.7675390649783101
2020-07-28,34.939998626708984,45.459999084472656,-2.5797890510921633,0.8793517269944235
2020-07-29,34.900001525878906,46.058998107910156,-3.1141617927317355,0.4357109456110249
2020-07-30,34.38999938964844,47.24100112915039,-4.59971393522256,-1.0116194268407739
2020-07-31,33.16999816894531,47.165000915527344,-5.756989420421256,-2.168605695270024
2020-08-03,34.16999816894531,48.229000091552734,-5.6351465690751255,-2.0813167915419455
2020-08-04,35.09000015258789,48.16999816894531,-4.666448156629301,-1.0632220383301436
2020-08-05,35.22999954223633,48.229000091552734,-4.57514519578411,-0.9447056478899368
2020-08-06,35.650001525878906,48.27000045776367,-4.188982302901039,-0.47211688518000416
2020-08-07,35.27000045776367,47.0,-3.520805885630473,0.36286154125205633
2020-08-10,35.91999816894531,47.053001403808594,-2.9145521572374946,1.1093925358941035
2020-08-11,36.59000015258789,46.487998962402344,-1.7782331461877945,2.4458400830068774
2020-08-12,37.2400016784668,47.84000015258789,-2.244087287213695,1.8836013269837475
2020-08-13,37.04999923706055,47.38199996948242,-2.056085549724557,2.0584790494066785
2020-08-14,37.029998779296875,47.11000061035156,-1.851595061412219,2.2381300875193517
2020-08-17,37.689998626708984,47.70500183105469,-1.682671323071979,2.4075508596202764
2020-08-18,37.72999954223633,47.409000396728516,-1.398369677410308,2.6270017674610684
2020-08-19,37.72999954223633,46.88100051879883,-0.9625922090250683,2.9848620219642794
2020-08-20,37.27000045776367,46.4640007019043,-1.0784262053618434,2.7262966366769943
2020-08-21,37.31999969482422,46.45199966430664,-1.0185220762721343,2.6655825584527
2020-08-24,37.7599983215332,47.058998107910156,-1.079501302256034,2.5058488792258564
2020-08-25,37.970001220703125,47.5890007019043,-1.3069287857483118,2.2047413903537243
2020-08-26,38.75,47.63999938964844,-0.5690210749631461,2.7556659337727067
2020-08-27,38.619998931884766,46.917999267578125,-0.10312922999036545,3.010047843053882
2020-08-28,39.0,47.75,-0.4098085722780951,2.61761402658218
2020-08-31,39.7400016784668,47.959999084472656,0.15687323771915374,2.934734262139464
2020-09-01,39.91999816894531,48.369998931884766,-0.0015180309892315336,2.6777230742250646
2020-09-02,39.22999954223633,50.06999969482422,-2.0945890061834618,1.0343335942412784
2020-09-03,38.04999923706055,46.66299819946289,-0.462667285439764,2.2140454831748757
2020-09-04,39.119998931884766,46.52000045776367,0.7253536371673732,2.939040503208449
2020-09-08,37.95000076293945,44.29800033569336,1.3892528390779688,3.2018822494591026
2020-09-09,38.4900016784668,45.8650016784668,0.6359506561507757,2.5681335815333313
2020-09-10,38.369998931884766,45.2400016784668,1.0317831003053684,2.694895121386557
2020-09-11,38.560001373291016,45.040000915527344,1.3868534324289712,2.7754383243989804
2020-09-14,39.43000030517578,46.279998779296875,1.233437109000839,2.5634764787265847
2020-09-15,40.209999084472656,46.8390007019043,1.5520713069051695,2.624719331315062
2020-09-16,40.20000076293945,46.619998931884766,1.7228230970674616,2.599796040746078
2020-09-17,40.18000030517578,46.43600082397461,1.854682957846208,2.554295467613837
2020-09-18,39.9900016784668,45.73400115966797,2.2440701403126795,2.633927869731523
2020-09-21,39.0099983215332,45.5620002746582,1.4060253583004965,2.1288544221560057
2020-09-22,38.560001373291016,46.16600036621094,0.4575252061686399,1.6111167836494928
2020-09-23,37.77000045776367,44.939998626708984,0.6793880364643741,1.6772420132971926
2020-09-24,37.58000183105469,45.39500045776367,0.11385987966321665,1.373426878386564
2020-09-25,37.38999938964844,46.11800003051758,-0.672860357765444,0.9735943446177734
2020-09-28,38.45000076293945,47.43000030517578,-0.6957004435541378,0.9443449680956602
2020-09-29,38.63999938964844,47.720001220703125,-0.7450501009649031,0.9025636751839329
2020-09-30,39.33000183105469,47.650001525878906,0.0027256299311986254,1.2361750714132667
2020-10-01,39.38999938964844,48.72999954223633,-0.8286383838957008,0.8211430669858448
2020-10-02,39.290000915527344,47.560001373291016,0.03700510780625166,1.2105113716563098
2020-10-05,39.95000076293945,48.97999954223633,-0.47497108689933754,0.9474507048653423
2020-10-06,39.869998931884766,48.834999084472656,-0.4352987758941538,0.9473908681248198
2020-10-07,40.709999084472656,49.81100082397461,-0.4008282928346887,0.9449315865509608
2020-10-08,40.81999969482422,50.25400161743164,-0.656452320546137,0.8065948122885928
2020-10-09,40.7599983215332,51.540000915527344,-1.7778356029897324,0.26049394036833223
2020-10-12,41.15999984741211,52.06700134277344,-1.8127866625616633,0.22983282968880228
2020-10-13,40.880001068115234,52.08700180053711,-2.1092925457710834,0.0751504183200327
2020-10-14,41.04999923706055,51.80799865722656,-1.7090229533926333,0.25651773359864644
2020-10-15,40.4900016784668,51.560001373291016,-2.064339349968691,0.07077840833825708
2020-10-16,40.599998474121094,51.41299819946289,-1.8330154979775628,0.17516205092763273
2020-10-19,40.33000183105469,50.93199920654297,-1.7060262094328138,0.2279639130732127
2020-10-20,41.15999984741211,51.01599884033203,-0.9453561404632111,0.5913087254597478
2020-10-21,41.18000030517578,50.513999938964844,-0.5110377642414292,0.7928564058573491
2020-10-22,41.400001525878906,50.61199951171875,-0.37191914882409094,0.8454641700246145
2020-10-23,41.459999084472656,50.59400177001953,-0.2970674005947487,0.8656747905626674
2020-10-26,40.869998931884766,49.619998931884766,-0.08318764952302615,0.9531252790446013
2020-10-27,40.880001068115234,49.611000061035156,-0.06575841847475772,0.9429732447492771
2020-10-28,39.18000030517578,47.80799865722656,-0.27767666456300333,0.8243740362013242
2020-10-29,40.029998779296875,49.4119987487793,-0.751517699510174,0.5770520499554788
2020-10-30,39.349998474121094,48.26100158691406,-0.4815582598410515,0.6969034245397294
2020-11-02,40.56999969482422,48.43899917602539,0.5915350883342327,1.2054902712634434
2020-11-03,42.040000915527344,49.40299987792969,1.2659115315380873,1.5036007039790271
2020-11-04,42.0,51.277000427246094,-0.3207700732647254,0.7117760986707874
2020-11-05,43.70000076293945,53.67300033569336,-0.5982750219713964,0.5619093060392987
2020-11-06,43.65999984741211,54.810001373291016,-1.576684172853824,0.06526376803209177
2020-11-09,45.189998626708984,54.20899963378906,0.44934316152950515,1.0533703188223942
2020-11-10,45.869998931884766,52.198001861572266,2.789092937749089,2.1554316118341963
2020-11-11,45.470001220703125,54.099998474121094,0.8193083699041921,1.1642142524669419
2020-11-12,44.91999816894531,53.290000915527344,0.9378257103598244,1.200452708247598
2020-11-13,45.93000030517578,53.7599983215332,1.5599219240738975,1.4796031084552226
2020-11-16,46.900001525878906,54.92599868774414,1.567580710691594,1.454946183490573
2020-11-17,47.15999984741211,54.599998474121094,2.0966388440238717,1.683473505250052
2020-11-18,47.83000183105469,54.18000030517578,3.113280564605553,2.127596721638375
2020-11-19,47.61000061035156,55.03499984741211,2.187617180783704,1.6469546312470393
2020-11-20,48.40999984741211,55.04800033569336,2.976886642880686,1.9947756467194986
2020-11-23,49.45000076293945,55.4900016784668,3.6520878032794215,2.2629263174078056
2020-11-24,50.68000030517578,55.88999938964844,4.551954712489199,2.5939289520138953
2020-11-25,49.97999954223633,55.7400016784668,3.975752506281644,2.2445980108529358
2020-11-27,49.400001525878906,56.084999084472656,3.1110156055551457,1.8003070123155251
2020-11-30,47.93000030517578,57.0,0.8858309099956472,0.7461797156840398
2020-12-01,49.279998779296875,57.981998443603516,1.4253504169818854,0.9852969773570814
2020-12-02,49.209999084472656,57.8849983215332,1.4354084445090507,0.970761893999386
2020-12-03,49.220001220703125,57.8849983215332,1.4454105807395194,0.9565374550122066
2020-12-04,50.0,59.13999938964844,1.1896114154829718,0.8159438893958074
2020-12-07,49.790000915527344,59.5,0.6824907574007142,0.5561584283972694
2020-12-08,50.119998931884766,59.935001373291016,0.6534663475785152,0.5281741456938988
2020-12-09,49.93000030517578,57.83700180053711,2.1950229365125153,1.2567685340984562
2020-12-10,49.68000030517578,58.0,1.8104946048170518,1.0479560106202959
2020-12-11,49.2400016784668,57.13999938964844,2.0802857043069665,1.15744242589476
2020-12-14,49.849998474121094,58.3849983215332,1.6627396815681905,0.9337254529987201
2020-12-15,50.88999938964844,59.07500076293945,2.133256531541086,1.1423398338698618
2020-12-16,51.290000915527344,59.15999984741211,2.4631052270977634,1.2785261208171672
2020-12-17,51.29999923706055,59.60499954223633,2.1058291446991433,1.0812171932843053
2020-12-18,51.45000076293945,59.62900161743164,2.236020886519732,1.1245940351207693
2020-12-21,50.66999816894531,59.0,1.9751561634079806,0.9840752828141692
2020-12-22,50.380001068115234,59.1150016784668,1.5902440021827786,0.7848436006305131
2020-12-23,50.79999923706055,58.893001556396484,2.1934669316268014,1.1087169980776672
2020-12-24,50.68000030517578,58.849998474121094,2.1089600047785027,1.0582159710703594
2020-12-28,51.0,59.119998931884766,2.206118519395517,1.1118051858523608
2020-12-29,51.34000015258789,58.60200119018555,2.9736410142083045,1.559750485041156
2020-12-30,51.689998626708984,59.775001525878906,2.3555197252949824,1.1769178013851747
2020-12-31,51.810001373291016,59.790000915527344,2.4631429310446364,1.2281047983878206
2021-01-04,51.97999954223633,59.81999969482422,2.6083820183252016,1.294062534957635
2021-01-05,52.47999954223633,60.599998474121094,2.464620707776497,1.1845361055467285
2021-01-06,52.95000076293945,60.84000015258789,2.736539829937179,1.3335193850445135
2021-01-07,53.970001220703125,63.459999084472656,1.5941600496872042,0.5911053775347708
